uuid,filename,flow,turbidity
00064d0f-59f7-43f0-994a-ea97ec69b5e6,5206.jpg,1.0,1.0
000aa398-c4a2-4281-b5d8-f15c2016d14e,2579.jpg,0.0,
000d13e5-958a-4962-b482-46edbb72d38e,15997.jpg,1.0,2.0
0014e89a-817f-4ee8-a6a6-b4d6bef6e220,14569.jpg,0.0,
0015a692-7595-4744-9c24-7f6d00f20c35,1955.jpg,0.0,
001a5a1e-4c51-4b40-88a1-78a97e8bd39b,2564.jpg,0.0,
0024ac4c-f49f-479e-886f-3e868996dec4,2912.jpg,1.0,2.0
0027c585-68b8-49db-822d-a4ba6f4232c1,17484.jpg,1.0,5.0
0029e217-dc1a-4c39-b943-f28a63a9f0a0,14952.jpg,0.0,
002c67f4-7fa2-41e4-9f9f-b9cce1a94a9e,5781.jpg,0.0,
002d350f-eeac-45d8-9792-b691b77eb08c,1528.jpg,0.0,
00365d40-3cf8-4d94-a9e3-96fde60f69bc,16499.jpg,1.0,2.0
003a50e9-b3dc-495c-a6b0-0a60fc4d38d6,344.jpg,1.0,1.0
003d359e-ea99-4195-beae-a245dce82fa8,1454.jpg,0.0,
00412a72-dacc-4975-87fa-0e5d46a4a771,3347.jpg,1.0,3.0
0045600c-a06d-4be6-b717-ef2f9e8adeda,16605.jpg,1.0,2.0
00508861-18cd-47ad-ab54-569249ba6b22,3207.jpg,0.0,
0054497a-fa5f-4706-b618-af72baa26606,5505.jpg,1.0,1.0
0055726e-7420-42fb-bf45-c611c3d3b553,672.jpg,1.0,1.0
0056a47c-fff9-46be-92f3-fc0c136ee1c9,5683.jpg,0.0,
005e43f6-136c-4e7a-94f6-aa4debca687a,1101.jpg,1.0,3.0
0062e272-4246-49b2-a4da-03cfae11c987,4670.jpg,0.0,
006600d4-a5ae-4ee3-860c-f563a3af9476,459.jpg,0.0,
0072c581-5b7e-4281-89ed-0730d4ed5adb,5924.jpg,1.0,2.0
007428a4-afd6-4f1d-9228-0560c204d870,1484.jpg,1.0,3.0
00790187-5ecc-4492-ab3d-ce5749dc1d19,1899.jpg,0.0,
008415a8-ae7a-44e6-a11d-14a9660aa3cf,341.jpg,1.0,1.0
00847970-e0ca-4125-814c-054c21978fc6,3147.jpg,1.0,2.0
00867217-1900-4a00-92ba-382a7c4e95be,4834.jpg,1.0,1.0
008ad38a-1253-499c-ac61-1fada8aed351,14058.jpg,1.0,2.0
008f9ee2-ba9a-43ad-84d0-eb6af0857ab7,14484.jpg,0.0,
0094665d-0d4f-4dbb-9d5c-0233c2ef2821,1034.jpg,1.0,2.0
0095bcd1-c25b-461c-985b-f2cd2c74df29,14177.jpg,0.0,
00961007-9f6c-495c-abd4-077e8b572f28,1329.jpg,0.0,
00974a15-13bd-4045-b8b1-86fa26f664e1,1462.jpg,0.0,
009b6fa7-53a3-4d80-9194-4b45bf53b4bc,3656.jpg,1.0,1.0
00a01e63-a109-4a5b-bd98-ea19d918b480,2985.jpg,1.0,1.0
00a27c58-8118-44ba-8e08-3f0f12ebceb1,462.jpg,1.0,2.0
00a7da4f-5e82-426f-8ce6-cf7849bb1885,14090.jpg,1.0,2.0
00a81f38-e58b-4150-9142-be3deb0a2f3d,15008.jpg,0.0,
00ae43a7-23f8-48e8-92d5-4e3899b9cdf8,14945.jpg,0.0,
00aeb32d-ceee-4b45-bb1d-876072622995,15599.jpg,1.0,2.0
00afe6f9-f839-4ef4-b160-0e7ebaee1a4e,14676.jpg,0.0,
00b3e94d-95f2-4626-8aae-d190fd8f7c57,4388.jpg,1.0,1.0
00b5cab1-619d-4988-9b7b-25e04434140d,14856.jpg,0.0,
00b68f93-ceba-4d1c-ab4e-95d484c89aad,1794.jpg,0.0,
00b69de1-8632-44e6-ace3-5af156151b5e,1336.jpg,1.0,3.0
00b78829-f0b5-4997-bb84-3081adce2d2e,16932.jpg,1.0,1.0
00b7f61b-b17d-4b6c-bb56-49b6e8b93ee3,14055.jpg,1.0,2.0
00bcbf38-433d-4c41-86af-9ee31700b954,906.jpg,1.0,1.0
00c2cdee-fcbf-455b-89d1-170e6046ea50,5662.jpg,0.0,
00c3591b-62bc-4d48-8330-5745ba503fb2,216.jpg,0.0,
00cb69a0-bd6b-450f-a6d0-3f2537b53236,6616.jpg,0.0,
00cb977f-b496-48ad-83c4-9e924ba9f9b5,4290.jpg,1.0,1.0
00ccbaf7-42b3-4d64-9478-df96578fc68e,3229.jpg,1.0,1.0
00ccfa6c-1441-4cc6-b4ac-1039baa2bd6f,2827.jpg,1.0,6.0
00ce4aac-6949-4823-872d-52cde874e9e7,4815.jpg,1.0,1.0
00d19564-41ab-4025-8988-7df8b307a226,1409.jpg,0.0,
00d46f52-2de7-4d15-9fc0-e94a9676cc92,635.jpg,0.0,
00d7fce3-7bc2-4662-83ea-4f5a12fafd2a,1085.jpg,0.0,
00db269a-54f6-4237-8e91-86df673b765e,3991.jpg,0.0,
00db9b09-03b8-4c55-bb66-24c3fe0de5a2,5624.jpg,1.0,1.0
00e1bdae-653c-4f52-84e3-e8eb1bedd3f8,1146.jpg,0.0,
00e797d7-4239-458e-af9d-3c69da14d8bf,1111.jpg,0.0,
00ed6cda-8fcb-402f-9ec5-7116759f67ee,1494.jpg,1.0,4.0
00ed771e-77b4-4b2a-81f5-dd5902ce2908,4220.jpg,1.0,2.0
00ef0398-ab55-47d9-803f-1faab3c329dd,2264.jpg,0.0,
00f0b6e7-38f3-44ea-90f6-8a2a4d2dcb34,794.jpg,1.0,1.0
00f1d8f1-e369-42c1-91a8-ce7122964853,3709.jpg,0.0,
00f22ae6-d9f0-4c47-b71c-03483e08ea4a,2336.jpg,1.0,1.0
00fa8cfd-d8b2-4a1c-858b-87ca3b5b8b22,660.jpg,1.0,1.0
00fad1d5-3c1c-414a-83ef-7e90157bd498,2672.jpg,1.0,1.0
010124d1-d633-4d52-a219-cfd5821fbaaf,6874.jpg,1.0,1.0
0105d2ef-3f3f-4182-8160-a65103eceb4b,4029.jpg,0.0,
010b23b5-7d4e-4029-a7fd-6b1bc297624b,3121.jpg,1.0,4.0
010cba07-f3b7-4089-bb31-758edaeaf147,14345.jpg,0.0,
010d8899-c17d-4f7e-a408-c13a3329d8be,16701.jpg,1.0,2.0
01107b63-838a-43f6-9e7b-70b26c8c2630,14422.jpg,0.0,
0118a7a1-8933-421d-bf9e-27d43192a5f1,1871.jpg,0.0,
011dc779-ecc2-4ea7-9458-4d7d95d9d4d0,1443.jpg,1.0,2.0
012a2c6b-a67a-4574-a9bb-06f050ed18a3,3536.jpg,0.0,
01313b9c-fc4d-4032-834f-69ca1918bdd9,413.jpg,0.0,
013835fd-7de4-4790-9e56-445f8c625b50,942.jpg,0.0,
013a848e-63fd-4339-beec-4ded463f9e01,5007.jpg,1.0,1.0
0142d142-1d42-410a-a7bd-184ae22ec85e,1077.jpg,1.0,2.0
01479ef7-1d51-456e-a7d5-fa2990b22a80,2858.jpg,1.0,7.0
014a6438-6374-44c7-977c-9553465d503f,6901.jpg,1.0,1.0
014cc789-4e58-4663-99a7-f4042ad64a64,17508.jpg,1.0,5.0
0152485f-203d-4a7d-9588-24d4c7256531,698.jpg,1.0,2.0
0152d7d6-d390-4108-8888-b2d362a6edf7,1576.jpg,1.0,5.0
01572c2a-18af-4656-975e-d390528fb785,1175.jpg,0.0,
015f15d7-2554-43fc-bace-d303381469f9,1872.jpg,0.0,
01600f5f-3b2c-4a6e-977f-3fb5fbf63786,6817.jpg,0.0,
01609ff5-5d64-4334-bb6a-8ee235830995,3339.jpg,1.0,3.0
0161776b-0339-44ff-bd6c-02935220eae4,6880.jpg,1.0,1.0
016abe7c-61c8-46c4-b49a-1fabf46b88f8,4748.jpg,1.0,1.0
0174f37a-a5cd-49da-8951-8f29d5314f31,3058.jpg,1.0,4.0
0177362b-6b10-426e-84c0-61e057def046,4131.jpg,1.0,2.0
017a60eb-be18-4dca-aeb8-17ee0f69dcd0,1670.jpg,0.0,
017e4c0e-169c-4a67-a478-5fbc1377a87c,14929.jpg,0.0,
0189e339-dddb-40e6-9ca4-81086c4bf3c2,1551.jpg,1.0,6.0
0192c133-4b8e-4bc8-9317-2f9815fe7639,3322.jpg,1.0,3.0
0193a90b-eee8-47c9-b471-66295a6afe23,3562.jpg,0.0,
01a0b72c-1b6e-4942-80b2-4fa5a5c0085c,5170.jpg,1.0,1.0
01a1ab16-7103-4838-91fb-a710606b98df,14044.jpg,1.0,2.0
01a57f79-2bc3-4ce3-b0c0-53a4bfdc26fc,40.jpg,1.0,0.0
01a626ce-5582-4a3d-8565-f3e4d5f8035b,17690.jpg,1.0,3.0
01a82778-99be-4c2e-9702-0badd26ceafd,1025.jpg,0.0,
01ac73bf-e81c-4095-afd4-5015357e73aa,6013.jpg,0.0,
01b22816-03d0-46d7-93ed-073334f8d7a4,3027.jpg,1.0,1.0
01b65530-dc17-4aab-baf9-bdf96f1ffb1a,16395.jpg,1.0,2.0
01b8f252-b7ae-46b2-9e5e-a994280d8ac4,767.jpg,0.0,
01c04984-6b54-45f0-baaa-9d8d3e83a335,3054.jpg,1.0,1.0
01c38fbd-4e1f-4f7d-aeac-ac5c7169711d,6182.jpg,0.0,
01c3e12f-c651-47ea-bf42-78c91d51de99,2668.jpg,0.0,
01c648c5-c3ee-4e07-ac25-1c04bb5b5f9d,1064.jpg,1.0,2.0
01dbd79c-8f7a-4eb5-8be0-e3e0f6849d24,6941.jpg,1.0,1.0
01dcddf5-74b7-421f-9535-be65ff19c333,4893.jpg,1.0,1.0
01e04846-97e7-46cc-9f12-9d08f7a45074,16953.jpg,1.0,1.0
01e5f22f-8cbc-43b1-826e-f80cbb36c9d0,3160.jpg,1.0,2.0
01ee9e3a-0d8f-4ca4-ac96-986fe8839c2a,1222.jpg,0.0,
01f237fe-398b-4218-8adf-8856e229bb82,3308.jpg,1.0,3.0
01f83638-0c04-49ad-9a5e-32a9d2a96355,16900.jpg,1.0,2.0
020804f8-2aec-4842-a723-b9575e0c9561,15871.jpg,1.0,2.0
020940a8-fe73-43f0-b6a9-54e36e161ce7,2064.jpg,0.0,
0209a5b3-81b5-40c7-82f9-1424740deff5,6483.jpg,1.0,1.0
020e11d0-6577-4a2f-a9e2-f9dd2308ce8a,6183.jpg,0.0,
02258616-ea9e-4b06-a644-6281466b7537,3908.jpg,1.0,1.0
022800a7-10ed-4c29-a99a-e565add8775d,15641.jpg,1.0,2.0
022877ec-1974-4108-be0a-c6ab6fba07ee,3475.jpg,0.0,
022b3a49-1ab0-40da-a48b-e46c410d9978,2452.jpg,1.0,2.0
022cb517-25e2-42c8-8a78-aa00cda08922,6525.jpg,0.0,
023143d2-dbfe-4ec6-bb7e-fcc8860fba6b,15746.jpg,1.0,2.0
02328900-4cf8-4e0d-9582-88790fb46fb9,991.jpg,1.0,4.0
02360a8b-ec40-41ad-a46e-3aa81657d8f0,4530.jpg,0.0,
